time(d),H296,H082,H080,H341,Cs2145,Cs2976,Cs2980,Cs3090,Cs3091,Cs3102
0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
0.042 ,4.912 ,0.041 ,-0.190 ,11.738 ,0.035 ,1.549 ,-0.304 ,0.686 ,-0.393 ,0.005 
0.083 ,9.819 ,0.111 ,-0.383 ,23.481 ,0.181 ,3.635 ,-0.257 ,2.324 ,0.057 ,-0.698 
0.125 ,14.634 ,0.160 ,-0.529 ,35.327 ,0.358 ,5.452 ,-0.401 ,2.075 ,0.366 ,-0.944 
0.167 ,19.637 ,0.220 ,-0.591 ,47.184 ,0.870 ,6.570 ,-0.453 ,2.430 ,0.315 ,-0.936 
0.208 ,24.457 ,0.279 ,-0.855 ,58.998 ,0.816 ,8.442 ,-1.345 ,2.305 ,0.375 ,-1.693 
0.250 ,29.340 ,0.342 ,-1.061 ,70.719 ,0.719 ,8.914 ,-1.820 ,2.832 ,1.034 ,-2.057 
0.292 ,34.136 ,0.393 ,-1.253 ,82.571 ,1.063 ,9.624 ,-2.590 ,2.908 ,0.505 ,-2.190 
0.333 ,39.100 ,0.445 ,-1.375 ,94.355 ,0.108 ,10.072 ,-2.981 ,3.906 ,0.814 ,-3.177 
0.375 ,43.937 ,0.521 ,-1.579 ,106.147 ,-0.150 ,11.833 ,-3.331 ,4.622 ,0.849 ,-3.603 
0.417 ,48.847 ,0.583 ,-1.777 ,118.045 ,-0.668 ,12.945 ,-2.951 ,5.232 ,0.904 ,-3.858 
0.458 ,53.686 ,0.640 ,-1.907 ,129.867 ,-0.456 ,13.688 ,-3.345 ,5.455 ,0.423 ,-4.805 
0.500 ,58.558 ,0.711 ,-2.100 ,141.618 ,-1.392 ,15.256 ,-3.060 ,6.049 ,-0.095 ,-5.437 
0.542 ,63.473 ,0.762 ,-2.271 ,153.467 ,-0.977 ,15.709 ,-2.414 ,6.678 ,-0.518 ,-5.892 
0.583 ,68.356 ,0.814 ,-2.406 ,165.313 ,-1.302 ,16.789 ,-3.279 ,7.343 ,-0.488 ,-6.145 
0.625 ,73.307 ,0.895 ,-2.566 ,177.138 ,-2.010 ,18.210 ,-2.444 ,8.170 ,-0.849 ,-5.860 
0.667 ,78.084 ,0.974 ,-2.710 ,188.957 ,-1.457 ,21.547 ,-3.092 ,8.621 ,-0.968 ,-6.223 
0.708 ,83.024 ,1.069 ,-2.835 ,200.776 ,-1.500 ,23.161 ,-3.670 ,9.152 ,-1.250 ,-6.261 
0.750 ,87.893 ,1.150 ,-3.027 ,212.560 ,-1.864 ,25.005 ,-4.685 ,9.798 ,-1.649 ,-6.386 
0.792 ,92.803 ,1.237 ,-3.111 ,224.403 ,-1.547 ,27.146 ,-5.219 ,10.587 ,-1.595 ,-6.598 
0.833 ,97.705 ,1.305 ,-3.190 ,236.268 ,-1.609 ,28.776 ,-5.507 ,10.888 ,-1.600 ,-7.213 
0.875 ,102.639 ,1.408 ,-3.375 ,248.101 ,-1.503 ,30.357 ,-6.187 ,11.048 ,-1.370 ,-7.753 
0.917 ,107.538 ,1.511 ,-3.453 ,259.974 ,-2.428 ,32.601 ,-6.434 ,12.030 ,-1.250 ,-7.656 
0.958 ,112.424 ,1.581 ,-3.649 ,271.742 ,-2.393 ,34.464 ,-7.400 ,12.350 ,-1.535 ,-7.308 
1.000 ,117.339 ,1.622 ,-3.803 ,283.550 ,-2.976 ,36.757 ,-7.731 ,12.315 ,-1.372 ,-8.442 
1.042 ,122.187 ,1.646 ,-4.009 ,295.413 ,-3.592 ,37.801 ,-7.603 ,11.990 ,-1.812 ,-8.166 
1.083 ,127.137 ,1.741 ,-4.172 ,307.278 ,-3.334 ,39.212 ,-7.416 ,12.323 ,-2.089 ,-9.242 
1.125 ,132.061 ,1.798 ,-4.343 ,319.019 ,-3.546 ,40.945 ,-7.807 ,13.628 ,-2.382 ,-9.747 
1.167 ,136.919 ,1.891 ,-4.506 ,330.903 ,-3.950 ,42.453 ,-7.658 ,14.032 ,-1.923 ,-9.780 
1.208 ,141.853 ,1.953 ,-4.674 ,342.768 ,-5.130 ,44.018 ,-7.891 ,14.795 ,-2.316 ,-10.002 
1.250 ,146.728 ,2.042 ,-4.788 ,354.593 ,-5.594 ,45.207 ,-8.173 ,15.402 ,-2.940 ,-10.257 
1.292 ,151.668 ,2.118 ,-4.899 ,366.401 ,-4.775 ,45.820 ,-8.298 ,15.589 ,-3.507 ,-9.796 
1.333 ,156.526 ,2.197 ,-5.051 ,378.252 ,-5.610 ,46.471 ,-8.254 ,16.270 ,-3.857 ,-10.344 
1.375 ,161.469 ,2.276 ,-5.160 ,390.118 ,-6.134 ,47.738 ,-9.293 ,16.666 ,-3.773 ,-10.566 
1.417 ,166.360 ,2.349 ,-5.328 ,401.953 ,-6.869 ,48.242 ,-9.079 ,16.935 ,-4.006 ,-10.791 
1.458 ,171.289 ,2.447 ,-5.499 ,413.905 ,-6.541 ,49.563 ,-9.383 ,17.643 ,-4.253 ,-11.687 
1.500 ,176.223 ,2.533 ,-5.572 ,425.760 ,-6.996 ,51.090 ,-10.728 ,18.259 ,-3.868 ,-11.735 
1.542 ,181.149 ,2.626 ,-5.789 ,437.584 ,-7.927 ,53.060 ,-10.511 ,18.598 ,-4.234 ,-12.408 
1.583 ,186.073 ,2.729 ,-5.884 ,449.455 ,-7.818 ,54.275 ,-10.812 ,18.736 ,-4.931 ,-12.308 
1.625 ,190.931 ,2.807 ,-6.044 ,461.293 ,-8.442 ,54.769 ,-11.054 ,18.712 ,-5.281 ,-12.441 
1.667 ,195.849 ,2.897 ,-6.207 ,473.161 ,-8.095 ,56.472 ,-11.143 ,18.251 ,-6.177 ,-12.650 
1.708 ,200.735 ,3.003 ,-6.269 ,485.045 ,-7.460 ,57.560 ,-10.655 ,18.652 ,-5.699 ,-12.913 
1.750 ,205.664 ,3.095 ,-6.386 ,496.815 ,-7.967 ,60.113 ,-10.913 ,19.270 ,-5.675 ,-13.740 
1.792 ,210.579 ,3.198 ,-6.502 ,508.686 ,-8.127 ,60.802 ,-11.998 ,19.683 ,-5.577 ,-14.657 
1.833 ,215.494 ,3.277 ,-6.570 ,520.540 ,-8.076 ,61.808 ,-13.102 ,20.391 ,-6.532 ,-14.459 
1.875 ,220.445 ,3.374 ,-6.733 ,532.430 ,-8.887 ,63.466 ,-13.023 ,21.061 ,-7.104 ,-14.123 
1.917 ,225.393 ,3.510 ,-6.833 ,544.284 ,-9.758 ,65.609 ,-12.622 ,21.169 ,-7.294 ,-14.722 
1.958 ,230.311 ,3.632 ,-6.936 ,556.133 ,-10.875 ,67.160 ,-13.059 ,21.894 ,-7.964 ,-15.460 
2.000 ,235.218 ,3.746 ,-7.080 ,567.988 ,-10.669 ,69.070 ,-12.776 ,22.298 ,-7.576 ,-16.298 
2.042 ,240.185 ,3.882 ,-7.180 ,579.856 ,-10.856 ,70.060 ,-11.965 ,22.802 ,-7.609 ,-17.144 
2.083 ,245.043 ,3.993 ,-7.370 ,591.791 ,-11.158 ,71.004 ,-12.117 ,23.546 ,-7.693 ,-16.927 
2.125 ,250.013 ,4.139 ,-7.490 ,603.649 ,-12.424 ,73.147 ,-13.023 ,23.820 ,-8.073 ,-17.852 
2.167 ,254.977 ,4.275 ,-7.601 ,615.552 ,-13.168 ,73.980 ,-13.973 ,24.536 ,-8.466 ,-17.798 
2.208 ,259.909 ,4.413 ,-7.699 ,627.455 ,-13.292 ,75.117 ,-13.465 ,25.708 ,-8.680 ,-18.387 
2.250 ,264.854 ,4.549 ,-7.848 ,639.331 ,-13.336 ,76.522 ,-14.746 ,26.673 ,-8.303 ,-17.793 
2.292 ,269.802 ,4.676 ,-7.883 ,651.297 ,-13.401 ,77.536 ,-14.480 ,27.484 ,-8.314 ,-18.026 
2.333 ,274.783 ,4.809 ,-8.008 ,663.241 ,-12.867 ,78.567 ,-13.989 ,28.461 ,-8.018 ,-18.626 
2.375 ,279.701 ,4.956 ,-8.040 ,675.073 ,-13.298 ,80.018 ,-13.753 ,28.016 ,-7.503 ,-18.485 
2.417 ,284.681 ,5.086 ,-8.092 ,687.025 ,-13.724 ,81.703 ,-13.490 ,28.941 ,-7.441 ,-19.024 
2.458 ,289.621 ,5.235 ,-8.238 ,698.912 ,-13.675 ,83.170 ,-14.735 ,30.170 ,-7.736 ,-19.505 
2.500 ,294.561 ,5.368 ,-8.322 ,710.805 ,-12.807 ,85.973 ,-15.619 ,30.875 ,-7.267 ,-19.513 
2.542 ,299.509 ,5.488 ,-8.480 ,722.675 ,-12.335 ,88.837 ,-16.371 ,31.684 ,-6.624 ,-20.207 
2.583 ,304.456 ,5.585 ,-8.512 ,734.516 ,-12.677 ,90.080 ,-15.801 ,31.353 ,-6.662 ,-20.695 
2.625 ,309.380 ,5.694 ,-8.740 ,746.446 ,-12.316 ,92.290 ,-15.416 ,31.887 ,-6.513 ,-20.609 
2.667 ,314.352 ,5.800 ,-8.846 ,758.328 ,-12.517 ,93.777 ,-16.154 ,32.145 ,-6.638 ,-20.362 
2.708 ,319.273 ,5.886 ,-8.941 ,770.207 ,-12.522 ,94.298 ,-17.716 ,32.549 ,-6.643 ,-21.490 
2.750 ,324.153 ,5.987 ,-9.036 ,781.993 ,-12.007 ,97.363 ,-18.270 ,33.420 ,-7.069 ,-22.488 
2.792 ,329.112 ,6.084 ,-9.210 ,793.964 ,-10.772 ,99.021 ,-19.168 ,33.287 ,-7.381 ,-22.499 
2.833 ,333.976 ,6.168 ,-9.356 ,805.832 ,-12.411 ,99.474 ,-20.008 ,33.588 ,-6.787 ,-23.091 
2.875 ,338.926 ,6.247 ,-9.459 ,817.654 ,-12.140 ,100.494 ,-19.536 ,34.741 ,-7.066 ,-22.912 
2.917 ,343.823 ,6.348 ,-9.595 ,829.568 ,-12.921 ,101.961 ,-18.983 ,35.148 ,-6.765 ,-23.842 
2.958 ,348.757 ,6.448 ,-9.733 ,841.455 ,-13.659 ,103.952 ,-18.194 ,36.000 ,-7.159 ,-25.139 
3.000 ,353.645 ,6.548 ,-9.809 ,853.271 ,-14.578 ,105.002 ,-18.685 ,36.086 ,-7.346 ,-25.478 
3.042 ,358.612 ,6.638 ,-10.002 ,865.161 ,-14.396 ,106.147 ,-18.744 ,36.154 ,-7.663 ,-25.220 
3.083 ,363.492 ,6.754 ,-10.124 ,877.059 ,-14.383 ,106.925 ,-18.644 ,35.769 ,-7.527 ,-25.912 
3.125 ,368.421 ,6.860 ,-10.305 ,888.919 ,-14.158 ,108.678 ,-18.641 ,36.450 ,-7.606 ,-26.194 
3.167 ,373.396 ,7.037 ,-10.371 ,900.860 ,-14.424 ,110.484 ,-19.756 ,37.318 ,-7.495 ,-26.628 
3.208 ,378.241 ,7.093 ,-10.547 ,912.603 ,-14.112 ,111.735 ,-19.669 ,38.183 ,-7.338 ,-27.664 
3.250 ,383.189 ,7.207 ,-10.658 ,924.569 ,-14.063 ,113.308 ,-20.391 ,37.866 ,-7.677 ,-28.519 
3.292 ,388.153 ,7.300 ,-10.769 ,936.431 ,-14.030 ,115.717 ,-21.134 ,38.313 ,-7.967 ,-29.305 
3.333 ,393.055 ,7.435 ,-10.864 ,948.383 ,-14.019 ,116.740 ,-21.462 ,38.522 ,-7.867 ,-29.330 
3.375 ,397.941 ,7.536 ,-10.992 ,960.145 ,-14.209 ,117.418 ,-21.313 ,38.964 ,-8.314 ,-29.099 
3.417 ,402.870 ,7.603 ,-11.103 ,972.092 ,-13.431 ,118.606 ,-21.815 ,39.442 ,-8.537 ,-28.722 
3.458 ,407.755 ,7.701 ,-11.239 ,983.927 ,-13.998 ,119.458 ,-22.179 ,40.055 ,-7.948 ,-28.684 
3.500 ,412.594 ,7.783 ,-11.366 ,995.809 ,-14.247 ,120.198 ,-22.675 ,40.280 ,-8.225 ,-29.417 
3.542 ,417.572 ,7.888 ,-11.564 ,1007.704 ,-14.977 ,121.872 ,-22.786 ,41.547 ,-8.119 ,-30.236 
3.583 ,422.444 ,7.986 ,-11.711 ,1019.599 ,-16.396 ,123.134 ,-23.652 ,42.746 ,-8.032 ,-30.211 
3.625 ,427.427 ,8.113 ,-11.803 ,1031.470 ,-16.412 ,124.447 ,-24.067 ,43.099 ,-7.929 ,-29.940 
3.667 ,432.356 ,8.198 ,-11.974 ,1043.332 ,-16.805 ,125.754 ,-24.590 ,44.132 ,-7.964 ,-29.772 
3.708 ,437.234 ,8.311 ,-12.109 ,1055.263 ,-16.493 ,126.432 ,-25.032 ,45.779 ,-7.479 ,-30.100 
3.750 ,442.225 ,8.390 ,-12.267 ,1067.101 ,-17.253 ,128.263 ,-25.548 ,46.378 ,-7.772 ,-30.860 
3.792 ,447.154 ,8.510 ,-12.375 ,1078.982 ,-18.409 ,130.395 ,-25.759 ,46.205 ,-8.716 ,-30.757 
3.833 ,452.072 ,8.583 ,-12.492 ,1090.818 ,-18.007 ,131.521 ,-25.586 ,46.177 ,-9.114 ,-31.310 
3.875 ,456.933 ,8.678 ,-12.633 ,1102.794 ,-17.600 ,133.537 ,-25.632 ,46.598 ,-9.405 ,-31.343 
3.917 ,461.916 ,8.759 ,-12.809 ,1114.605 ,-17.440 ,133.607 ,-26.134 ,47.149 ,-9.280 ,-32.525 
3.958 ,466.745 ,8.846 ,-12.961 ,1126.500 ,-18.018 ,135.734 ,-27.143 ,46.766 ,-9.939 ,-33.241 
4.000 ,471.671 ,8.906 ,-13.075 ,1138.371 ,-18.620 ,136.496 ,-27.314 ,47.840 ,-9.890 ,-33.806 
4.042 ,476.649 ,9.036 ,-13.200 ,1150.244 ,-18.400 ,137.603 ,-27.170 ,48.402 ,-9.627 ,-34.373 
4.083 ,481.483 ,9.133 ,-13.325 ,1162.166 ,-18.813 ,137.397 ,-28.637 ,49.048 ,-9.958 ,-34.310 
4.125 ,486.409 ,9.196 ,-13.493 ,1174.075 ,-19.244 ,138.495 ,-29.147 ,49.661 ,-9.280 ,-35.390 
4.167 ,491.381 ,9.291 ,-13.658 ,1185.875 ,-20.031 ,139.111 ,-29.655 ,50.124 ,-9.619 ,-36.467 
4.208 ,496.291 ,9.388 ,-13.851 ,1197.800 ,-20.123 ,140.633 ,-30.743 ,50.629 ,-9.236 ,-36.399 
4.250 ,501.136 ,9.464 ,-13.911 ,1209.644 ,-20.416 ,142.711 ,-31.643 ,50.672 ,-8.648 ,-37.408 
4.292 ,506.160 ,9.589 ,-14.014 ,1221.585 ,-20.294 ,143.248 ,-32.742 ,50.968 ,-8.632 ,-36.852 
4.333 ,511.021 ,9.690 ,-14.117 ,1233.455 ,-19.952 ,144.895 ,-32.248 ,51.207 ,-9.481 ,-37.020 
4.375 ,515.972 ,9.784 ,-14.250 ,1245.288 ,-20.693 ,146.918 ,-32.343 ,51.657 ,-8.648 ,-38.222 
4.417 ,520.939 ,9.893 ,-14.385 ,1257.178 ,-20.953 ,148.085 ,-32.552 ,51.532 ,-8.322 ,-38.683 
4.458 ,525.756 ,9.985 ,-14.483 ,1269.097 ,-21.222 ,148.570 ,-33.599 ,50.881 ,-9.367 ,-39.418 
4.500 ,530.723 ,10.048 ,-14.629 ,1280.976 ,-22.966 ,149.395 ,-34.009 ,51.600 ,-9.299 ,-39.486 
4.542 ,535.631 ,10.124 ,-14.762 ,1292.868 ,-22.600 ,149.506 ,-33.566 ,51.359 ,-10.064 ,-40.848 
4.583 ,540.511 ,10.197 ,-14.969 ,1304.769 ,-23.362 ,150.770 ,-34.847 ,51.483 ,-10.490 ,-41.190 
4.625 ,545.345 ,10.292 ,-15.161 ,1316.637 ,-23.305 ,153.041 ,-35.104 ,52.124 ,-10.408 ,-42.003 
4.667 ,550.358 ,10.370 ,-15.316 ,1328.491 ,-23.278 ,155.330 ,-36.171 ,52.560 ,-10.894 ,-41.925 
4.708 ,555.243 ,10.468 ,-15.438 ,1340.419 ,-22.890 ,157.183 ,-35.693 ,53.005 ,-10.994 ,-41.748 
4.750 ,560.172 ,10.555 ,-15.639 ,1352.322 ,-23.432 ,158.854 ,-36.944 ,53.697 ,-10.747 ,-41.729 
4.792 ,565.115 ,10.663 ,-15.715 ,1364.206 ,-23.508 ,159.589 ,-37.456 ,53.632 ,-9.963 ,-42.012 
4.833 ,569.959 ,10.791 ,-15.856 ,1376.126 ,-24.477 ,161.209 ,-38.086 ,53.217 ,-10.712 ,-42.077 
4.875 ,574.926 ,10.894 ,-15.923 ,1387.983 ,-25.383 ,162.381 ,-39.206 ,53.111 ,-10.812 ,-43.178 
4.917 ,579.893 ,11.019 ,-16.056 ,1399.927 ,-25.893 ,162.806 ,-39.350 ,52.818 ,-11.681 ,-43.891 
4.958 ,584.866 ,11.146 ,-16.092 ,1411.776 ,-25.456 ,164.410 ,-39.442 ,53.154 ,-12.066 ,-43.997 
5.000 ,589.732 ,11.295 ,-16.206 ,1423.682 ,-24.604 ,165.628 ,-39.792 ,54.023 ,-12.787 ,-43.132 
5.042 ,594.753 ,11.412 ,-16.317 ,1435.658 ,-25.049 ,166.498 ,-40.177 ,54.353 ,-13.365 ,-43.015 
5.083 ,599.641 ,11.526 ,-16.431 ,1447.578 ,-24.170 ,167.315 ,-39.542 ,54.351 ,-13.433 ,-43.864 
5.125 ,604.644 ,11.656 ,-16.539 ,1459.549 ,-24.466 ,169.425 ,-39.580 ,54.714 ,-13.048 ,-43.021 
5.167 ,609.608 ,11.792 ,-16.629 ,1471.406 ,-23.367 ,170.774 ,-40.614 ,54.910 ,-13.796 ,-44.119 
5.208 ,614.504 ,11.944 ,-16.751 ,1483.390 ,-23.392 ,171.690 ,-41.151 ,55.894 ,-13.295 ,-44.898 
5.250 ,619.525 ,12.104 ,-16.867 ,1495.345 ,-24.341 ,173.275 ,-41.892 ,56.665 ,-12.939 ,-45.050 
5.292 ,624.449 ,12.248 ,-16.930 ,1507.324 ,-24.062 ,175.089 ,-42.366 ,56.781 ,-13.173 ,-45.937 
5.333 ,629.435 ,12.408 ,-17.008 ,1519.230 ,-22.882 ,176.562 ,-42.366 ,57.883 ,-12.806 ,-46.487 
5.375 ,634.290 ,12.549 ,-17.084 ,1531.174 ,-22.670 ,178.095 ,-43.053 ,58.222 ,-12.530 ,-45.958 
5.417 ,639.388 ,12.654 ,-17.198 ,1543.150 ,-21.924 ,177.862 ,-43.164 ,58.618 ,-13.286 ,-45.996 
5.458 ,644.273 ,12.823 ,-17.215 ,1555.103 ,-22.317 ,179.096 ,-43.243 ,58.778 ,-13.324 ,-46.270 
5.500 ,649.264 ,12.991 ,-17.269 ,1566.987 ,-23.267 ,180.678 ,-43.446 ,58.675 ,-13.525 ,-46.770 
5.542 ,654.324 ,13.143 ,-17.361 ,1578.920 ,-23.725 ,182.576 ,-44.026 ,58.979 ,-13.040 ,-46.626 
5.583 ,659.239 ,13.338 ,-17.405 ,1590.885 ,-24.260 ,184.331 ,-43.677 ,59.801 ,-12.896 ,-47.437 
5.625 ,664.238 ,13.485 ,-17.510 ,1602.873 ,-24.162 ,185.029 ,-43.820 ,60.083 ,-11.670 ,-47.160 
5.667 ,669.230 ,13.609 ,-17.603 ,1614.852 ,-23.457 ,187.503 ,-44.184 ,61.227 ,-11.116 ,-47.752 
5.708 ,674.175 ,13.750 ,-17.708 ,1626.728 ,-23.723 ,188.696 ,-44.325 ,61.778 ,-10.975 ,-48.590 
5.750 ,679.071 ,13.875 ,-17.806 ,1638.737 ,-24.276 ,189.654 ,-43.877 ,62.133 ,-10.723 ,-48.560 
5.792 ,684.071 ,13.986 ,-17.887 ,1650.670 ,-24.474 ,190.698 ,-42.988 ,62.844 ,-10.303 ,-49.800 
5.833 ,688.859 ,14.098 ,-17.988 ,1662.570 ,-23.240 ,192.602 ,-44.192 ,62.331 ,-10.292 ,-50.749 
5.875 ,693.861 ,14.203 ,-18.094 ,1674.438 ,-24.206 ,194.428 ,-44.257 ,62.114 ,-11.062 ,-51.397 
5.917 ,698.828 ,14.309 ,-18.229 ,1686.399 ,-24.433 ,195.874 ,-44.827 ,62.988 ,-11.496 ,-52.097 
5.958 ,703.659 ,14.415 ,-18.327 ,1698.307 ,-24.309 ,196.720 ,-45.847 ,62.801 ,-11.274 ,-52.111 
6.000 ,708.615 ,14.515 ,-18.446 ,1710.227 ,-23.839 ,196.593 ,-46.704 ,63.571 ,-11.732 ,-52.865 
6.042 ,713.522 ,14.602 ,-18.571 ,1722.146 ,-23.280 ,197.341 ,-46.769 ,64.412 ,-12.090 ,-52.610 
6.083 ,718.478 ,14.686 ,-18.753 ,1733.965 ,-23.522 ,199.327 ,-46.454 ,64.773 ,-12.009 ,-53.101 
6.125 ,723.258 ,14.760 ,-18.964 ,1745.860 ,-23.519 ,200.279 ,-46.378 ,65.332 ,-12.117 ,-54.056 
6.167 ,728.241 ,14.846 ,-19.114 ,1757.704 ,-24.873 ,201.774 ,-47.697 ,65.546 ,-12.071 ,-54.151 
6.208 ,733.072 ,14.914 ,-19.303 ,1769.642 ,-24.981 ,203.659 ,-47.151 ,65.831 ,-12.231 ,-54.582 
6.250 ,737.982 ,14.998 ,-19.474 ,1781.486 ,-25.065 ,204.839 ,-46.943 ,66.371 ,-12.616 ,-54.989 
6.292 ,742.892 ,15.074 ,-19.602 ,1793.365 ,-25.887 ,206.071 ,-48.386 ,66.514 ,-13.053 ,-54.908 
6.333 ,747.726 ,15.137 ,-19.792 ,1805.265 ,-26.066 ,208.314 ,-48.812 ,66.607 ,-13.810 ,-54.984 
6.375 ,752.650 ,15.207 ,-19.941 ,1817.112 ,-26.405 ,209.755 ,-49.007 ,67.027 ,-13.316 ,-55.076 
6.417 ,757.584 ,15.286 ,-20.085 ,1828.990 ,-25.890 ,210.121 ,-50.073 ,67.260 ,-13.278 ,-55.724 
6.458 ,762.483 ,15.345 ,-20.253 ,1840.856 ,-26.563 ,210.178 ,-51.280 ,67.944 ,-13.205 ,-55.610 
6.500 ,767.301 ,15.438 ,-20.407 ,1852.680 ,-27.170 ,211.917 ,-51.440 ,68.359 ,-13.514 ,-55.819 
6.542 ,772.257 ,15.511 ,-20.568 ,1864.638 ,-27.927 ,212.910 ,-51.655 ,68.956 ,-14.035 ,-57.097 
6.583 ,777.151 ,15.600 ,-20.730 ,1876.473 ,-28.017 ,214.363 ,-52.013 ,69.336 ,-14.095 ,-57.319 
6.625 ,782.085 ,15.695 ,-20.860 ,1888.417 ,-28.546 ,215.855 ,-52.680 ,69.319 ,-14.637 ,-57.775 
6.667 ,787.006 ,15.788 ,-21.026 ,1900.271 ,-28.684 ,216.737 ,-53.667 ,70.353 ,-15.351 ,-58.510 
6.708 ,791.889 ,15.872 ,-21.134 ,1912.098 ,-27.933 ,217.277 ,-54.006 ,70.117 ,-16.184 ,-57.859 
6.750 ,796.858 ,15.950 ,-21.357 ,1924.064 ,-28.684 ,217.925 ,-54.069 ,70.388 ,-15.834 ,-58.081 
6.792 ,801.809 ,16.024 ,-21.446 ,1935.959 ,-29.959 ,218.864 ,-54.788 ,71.072 ,-15.674 ,-59.259 
6.833 ,806.722 ,16.151 ,-21.566 ,1947.911 ,-29.796 ,220.635 ,-55.211 ,71.671 ,-15.066 ,-59.530 
6.875 ,811.575 ,16.254 ,-21.693 ,1959.787 ,-29.639 ,220.646 ,-55.262 ,71.663 ,-16.056 ,-59.253 
6.917 ,816.585 ,16.371 ,-21.842 ,1971.728 ,-29.259 ,223.177 ,-56.106 ,72.382 ,-16.246 ,-59.541 
6.958 ,821.470 ,16.474 ,-21.927 ,1983.637 ,-28.567 ,224.617 ,-56.505 ,72.824 ,-16.262 ,-59.975 
7.000 ,826.399 ,16.580 ,-22.049 ,1995.532 ,-28.774 ,224.802 ,-57.202 ,73.095 ,-16.517 ,-60.604 
7.042 ,831.336 ,16.677 ,-22.135 ,2007.479 ,-29.558 ,227.970 ,-56.939 ,73.627 ,-16.346 ,-60.916 
7.083 ,836.208 ,16.808 ,-22.271 ,2019.366 ,-29.086 ,228.925 ,-56.396 ,74.834 ,-15.617 ,-61.928 
7.125 ,841.126 ,16.897 ,-22.390 ,2031.280 ,-29.929 ,229.386 ,-56.735 ,74.897 ,-15.552 ,-61.980 
7.167 ,846.104 ,17.003 ,-22.572 ,2043.169 ,-30.499 ,231.505 ,-56.998 ,75.352 ,-16.081 ,-62.131 
7.208 ,851.017 ,17.103 ,-22.708 ,2055.127 ,-31.006 ,234.049 ,-57.839 ,75.537 ,-16.203 ,-62.555 
7.250 ,855.837 ,17.212 ,-22.816 ,2066.979 ,-31.760 ,236.249 ,-58.113 ,75.819 ,-16.219 ,-62.723 
7.292 ,860.839 ,17.307 ,-22.998 ,2078.890 ,-31.245 ,237.698 ,-58.178 ,75.716 ,-16.265 ,-63.374 
7.333 ,865.706 ,17.369 ,-23.126 ,2090.785 ,-31.191 ,237.985 ,-58.648 ,75.564 ,-15.771 ,-63.382 
7.375 ,870.597 ,17.467 ,-23.269 ,2102.753 ,-32.414 ,239.760 ,-59.169 ,76.109 ,-16.024 ,-63.303 
7.417 ,875.515 ,17.548 ,-23.467 ,2114.616 ,-31.839 ,241.178 ,-60.037 ,77.427 ,-17.450 ,-63.314 
7.458 ,880.354 ,17.643 ,-23.622 ,2126.524 ,-32.935 ,242.961 ,-61.057 ,77.954 ,-17.225 ,-64.660 
7.500 ,885.251 ,17.730 ,-23.695 ,2138.403 ,-32.753 ,243.606 ,-61.990 ,78.390 ,-17.434 ,-65.072 
7.542 ,890.131 ,17.828 ,-23.863 ,2150.323 ,-32.753 ,246.468 ,-62.424 ,78.344 ,-18.115 ,-64.888 
7.583 ,895.076 ,17.898 ,-24.029 ,2162.250 ,-33.065 ,247.531 ,-62.058 ,78.494 ,-18.213 ,-66.675 
7.625 ,899.929 ,17.993 ,-24.175 ,2174.181 ,-32.577 ,248.340 ,-62.315 ,79.093 ,-18.327 ,-67.554 
7.667 ,904.836 ,18.072 ,-24.289 ,2186.041 ,-32.829 ,249.398 ,-63.072 ,79.183 ,-18.297 ,-67.711 
7.708 ,909.762 ,18.169 ,-24.485 ,2197.982 ,-32.699 ,249.883 ,-62.915 ,79.961 ,-19.344 ,-68.493 
7.750 ,914.659 ,18.248 ,-24.650 ,2209.899 ,-32.976 ,251.286 ,-63.843 ,79.839 ,-19.073 ,-68.740 
7.792 ,919.571 ,18.327 ,-24.753 ,2221.794 ,-32.365 ,252.175 ,-64.727 ,79.958 ,-19.005 ,-69.268 
7.833 ,924.416 ,18.411 ,-24.932 ,2233.672 ,-33.697 ,253.659 ,-65.419 ,80.303 ,-18.693 ,-70.736 
7.875 ,929.318 ,18.484 ,-25.071 ,2245.592 ,-34.180 ,254.739 ,-65.497 ,80.281 ,-18.790 ,-71.525 
7.917 ,934.217 ,18.582 ,-25.184 ,2257.541 ,-34.367 ,255.265 ,-65.644 ,81.008 ,-19.168 ,-71.770 
7.958 ,939.119 ,18.677 ,-25.336 ,2269.442 ,-34.291 ,256.849 ,-64.998 ,81.242 ,-19.241 ,-72.166 
8.000 ,944.051 ,18.769 ,-25.366 ,2281.388 ,-34.348 ,257.072 ,-65.584 ,81.939 ,-19.254 ,-71.704 
8.042 ,948.982 ,18.861 ,-25.608 ,2293.251 ,-34.503 ,259.049 ,-66.555 ,82.891 ,-19.528 ,-71.525 
8.083 ,953.936 ,18.970 ,-25.708 ,2305.227 ,-34.798 ,260.658 ,-66.043 ,84.329 ,-19.347 ,-71.167 
8.125 ,958.881 ,19.067 ,-25.822 ,2317.177 ,-35.281 ,262.272 ,-66.387 ,84.906 ,-18.951 ,-71.317 
8.167 ,963.848 ,19.187 ,-25.906 ,2329.137 ,-35.463 ,264.016 ,-66.734 ,85.940 ,-19.230 ,-70.606 
