10.417 ,1229.250 
10.458 ,1234.068 
10.500 ,1239.008 
10.542 ,1243.874 
10.583 ,1248.801 
10.625 ,1253.691 
10.667 ,1258.596 
10.708 ,1263.557 
10.750 ,1268.473 
10.792 ,1273.394 
10.833 ,1278.266 
10.875 ,1283.222 
10.917 ,1288.123 
10.958 ,1293.131 
11.000 ,1298.049 
11.042 ,1302.913 
11.083 ,1307.847 
11.125 ,1312.771 
11.167 ,1317.746 
11.208 ,1322.539 
11.250 ,1327.530 
11.292 ,1332.468 
11.333 ,1337.410 
11.375 ,1342.347 
11.417 ,1347.292 
11.458 ,1352.254 
11.500 ,1357.234 
11.542 ,1362.190 
11.583 ,1367.019 
11.625 ,1372.018 
11.667 ,1376.947 
11.708 ,1381.890 
11.750 ,1386.789 
11.792 ,1391.691 
11.833 ,1396.620 
11.875 ,1401.546 
11.917 ,1406.510 
11.958 ,1411.317 
12.000 ,1416.270 
12.042 ,1421.237 
12.083 ,1426.158 
12.125 ,1431.111 
12.167 ,1436.032 
12.208 ,1441.002 
12.250 ,1445.947 
12.292 ,1450.925 
12.333 ,1455.775 
12.375 ,1460.777 
12.417 ,1465.701 
12.458 ,1470.597 
12.500 ,1475.602 
12.542 ,1480.506 
12.583 ,1485.403 
12.625 ,1490.272 
12.667 ,1495.277 
12.708 ,1500.141 
12.750 ,1505.078 
12.792 ,1509.969 
12.833 ,1514.936 
12.875 ,1519.919 
12.917 ,1524.834 
12.958 ,1529.801 
13.000 ,1534.733 
13.042 ,1539.732 
13.083 ,1544.588 
13.125 ,1549.568 
13.167 ,1554.478 
13.208 ,1559.426 
13.250 ,1564.407 
13.292 ,1569.335 
13.333 ,1574.305 
13.375 ,1579.277 
13.417 ,1584.293 
13.458 ,1589.184 
13.500 ,1594.140 
13.542 ,1599.083 
13.583 ,1604.017 
13.625 ,1608.941 
13.667 ,1613.837 
13.708 ,1618.793 
13.750 ,1623.744 
13.792 ,1628.705 
13.833 ,1633.525 
13.875 ,1638.525 
13.917 ,1643.397 
13.958 ,1648.307 
14.000 ,1653.244 
14.042 ,1658.138 
14.083 ,1663.058 
14.125 ,1667.985 
14.167 ,1673.000 
14.208 ,1677.864 
14.250 ,1682.869 
14.292 ,1687.822 
14.333 ,1692.721 
14.375 ,1697.683 
14.417 ,1702.579 
14.458 ,1707.470 
14.500 ,1712.377 
14.542 ,1717.258 
14.583 ,1722.130 
14.625 ,1727.058 
14.667 ,1731.979 
14.708 ,1736.835 
14.750 ,1741.769 
14.792 ,1746.579 
14.833 ,1751.478 
14.875 ,1756.336 
14.917 ,1761.265 
14.958 ,1766.129 
15.000 ,1771.036 
15.042 ,1775.973 
15.083 ,1780.900 
15.125 ,1785.799 
15.167 ,1790.711 
